	count_strength	count_degree	log_count_strength	qa_strength
0	1369.0	20.0	48.13239638380167	14.421783999999999
1	1612.0	22.0	64.21323537690536	14.585490999999998
2	1373.0	22.0	63.78999009219066	15.382815
3	1267.0	20.0	63.88362598842497	11.772251999999998
4	1499.0	21.0	63.44410533957202	18.465103
5	1369.0	23.0	67.46416748851033	17.575292
6	1203.0	25.0	67.3265568842894	16.126320999999997
7	911.0	19.0	51.4998794663593	12.004787
8	1052.0	16.0	41.44275359444023	10.810456
9	882.0	16.0	34.57239481115531	11.013829
10	1158.0	19.0	42.28002061989143	15.024123000000001
11	1574.0	20.0	62.17163660473774	13.130107
12	1791.0	17.0	51.97003577929864	12.987548999999998
13	1460.0	17.0	49.46579158869463	11.774564000000002
14	546.0	23.0	57.540913224216084	15.164254
15	869.0	21.0	56.278210402025536	11.180957
16	887.0	25.0	58.159256996628216	16.753971
17	699.0	22.0	44.63172800411846	13.584913
18	584.0	19.0	55.29890683628359	12.819652999999999
19	1092.0	26.0	67.55134591987066	15.955554
20	1549.0	34.0	97.70809516420262	20.970893
21	1181.0	30.0	70.87119112617779	18.022514
22	856.0	27.0	75.99977718243571	16.865991
23	1295.0	29.0	72.54402520493906	17.099518
24	892.0	26.0	56.23204857823911	14.919476
25	933.0	32.0	70.96747382942783	18.406161
26	1056.0	22.0	71.62594969750927	16.419945000000002
27	1326.0	29.0	79.92566438071324	19.926783999999998
28	1169.0	23.0	68.59399216841348	16.699106
29	717.0	26.0	55.18114883518542	15.837397
30	1124.0	35.0	85.87074922077025	22.568265
31	888.0	19.0	40.66874341967781	11.067580999999999
32	646.0	27.0	52.42719288734992	19.976447
33	575.0	20.0	40.38315195695634	11.953961
34	448.0	25.0	48.185841462685374	19.712176
35	436.0	19.0	33.41015951220551	12.087264
36	489.0	37.0	73.92415692596984	28.313036
37	433.0	20.0	44.905997953496914	12.737138000000002
38	1782.0	39.0	89.41053645913485	25.929796
39	1000.0	20.0	45.59317535857234	11.765728
40	427.0	9.0	23.3643635977511	5.392108
41	357.0	6.0	14.422757743720554	3.026805
42	399.0	29.0	47.67320663483494	17.418364
43	418.0	20.0	45.86537205452178	12.724395000000001
44	543.0	19.0	36.811519642466045	9.616632
45	489.0	24.0	51.59338480996537	14.447958999999999
46	1099.0	14.0	28.390186246481324	6.467715999999999
47	1263.0	15.0	39.879109175597065	8.696631
48	799.0	23.0	59.001276056748125	9.741389
49	369.0	11.0	29.69180168977097	4.6241330000000005
50	367.0	27.0	51.185022512409844	17.650678
51	421.0	25.0	52.482993036249056	15.330691999999999
52	1815.0	27.0	75.77997606764227	19.037868
53	1043.0	25.0	56.65445318076937	16.060368
54	1231.0	25.0	69.64630051172121	15.936688
55	1382.0	24.0	75.86954500932436	15.067047000000002
56	264.0	25.0	33.47801093856196	16.648698000000003
57	354.0	19.0	38.92228344060214	12.068192
58	267.0	16.0	26.395296022675133	11.876305
59	422.0	17.0	40.315318099637906	12.797136000000002
60	586.0	22.0	43.280717430130444	12.875997
61	394.0	26.0	50.648035459907504	14.500105
62	916.0	36.0	71.82170707753257	25.482855999999998
63	894.0	20.0	47.21518574478101	12.041562
64	77.0	13.0	17.359207002233212	8.101192
65	108.0	12.0	19.878420965520277	6.644163000000001
66	427.0	6.0	15.168951094213087	4.714623
67	436.0	8.0	19.498861727747954	5.76809
68	842.0	20.0	47.27350650981522	9.547035999999999
69	1053.0	16.0	35.75730688383692	8.345009
70	167.0	13.0	17.35820750190013	8.669093
71	260.0	12.0	11.536485729379242	9.376679000000001
72	455.0	27.0	42.78669619738173	19.921271999999995
73	234.0	11.0	13.048191403202521	9.492582
74	51.0	14.0	12.460900893110876	10.306332000000001
75	1.0	1.0	0.0	0.827125
76	1030.0	53.0	100.9007109145002	45.542824
77	585.0	34.0	63.897560102016456	27.824114
78	2401.0	56.0	162.52065503574516	52.421745
79	568.0	39.0	68.5021617910964	34.290458
80	434.0	37.0	54.977419684924236	32.626055
81	23.0	6.0	4.836281906951478	5.628813
82	634.0	45.0	75.94182928096183	39.23451
83	464.0	33.0	53.98755193652583	25.374839
84	783.0	40.0	85.19357620918379	36.8712
85	2262.0	44.0	108.63872493065112	40.816818
86	1490.0	52.0	117.10192055178175	44.927497
87	656.0	38.0	75.32275463087727	32.881617
88	109.0	23.0	21.92800954405043	21.670234
89	302.0	25.0	51.01840227408404	22.612112000000003
90	368.0	47.0	62.68072091288509	42.957227
91	498.0	35.0	67.9312921400944	33.051638000000004
92	464.0	15.0	28.94739242862388	10.782869999999999
93	204.0	15.0	28.06204016557288	8.869864
94	2190.0	56.0	142.7586242971352	51.635962000000006
95	87.0	25.0	21.13509783333678	21.340564999999998
96	1118.0	47.0	100.10068016479744	42.64462999999999
97	925.0	44.0	87.71177954480774	41.390282
98	1883.0	43.0	127.39827402802976	41.249707
99	341.0	29.0	46.80659828334932	26.741284999999998
100	100.0	26.0	20.51478230057095	26.100037
101	249.0	28.0	45.12060859185098	25.841642
102	275.0	17.0	21.43934808652145	11.653611999999999
103	236.0	25.0	28.407179936576384	18.104995000000002
104	153.0	10.0	13.458607016470541	10.160743
105	79.0	13.0	17.02524908457871	12.491935
106	279.0	32.0	39.824402028680375	28.615204000000006
107	280.0	18.0	21.478869372439604	18.568486
108	112.0	7.0	13.002498175543622	3.0554249999999996
109	28.0	4.0	6.8416154764775925	1.963772
110	50.0	4.0	7.338888133838879	1.61369
111	36.0	2.0	3.5553480614894135	1.112884
112	0.0	0.0	0.0	0.0
113	277.0	6.0	16.414810058776894	3.277842
114	22.0	4.0	4.31748811353631	0.95572
115	0.0	0.0	0.0	0.0
116	17.0	8.0	2.302585092994046	3.2245049999999997
117	19.0	8.0	4.969813299576001	3.444101
118	16.0	2.0	2.70805020110221	0.403806
119	1.0	1.0	0.0	0.598224
120	431.0	34.0	41.7061024142163	28.757054
121	885.0	43.0	83.33665320320944	35.267279
122	684.0	32.0	49.509743457241726	25.98798
123	1534.0	45.0	112.39114081678332	35.45103
124	327.0	50.0	64.5107242063227	43.887693
125	294.0	32.0	47.19729698050526	28.913342999999998
126	991.0	44.0	86.91786666643691	40.012533000000005
127	822.0	44.0	88.93359731900927	42.004887
128	512.0	21.0	36.89502112088212	13.266604000000001
129	849.0	22.0	46.924667596634976	13.881107
130	1530.0	61.0	134.10378997756638	48.95769000000001
131	607.0	38.0	64.63716739386749	29.552849000000002
132	1902.0	47.0	125.1382887645056	38.290501
133	2162.0	58.0	147.51174624891263	43.16547800000001
134	1858.0	52.0	134.8762822127909	51.118046
135	2026.0	53.0	141.17140538584877	49.070121
136	1641.0	52.0	128.38234583434786	39.234938
137	2330.0	66.0	174.8332829608981	60.74674300000001
138	1680.0	42.0	98.53519059650972	31.144027
139	927.0	38.0	73.66032739483916	26.185018999999997
140	1065.0	42.0	79.3452093714757	32.481288
141	1664.0	50.0	118.68263000111912	39.408485
142	2374.0	54.0	149.0838940494411	42.549558000000005
143	2197.0	55.0	132.2380932489798	42.85826899999999
144	729.0	46.0	84.25012056128702	32.606543
145	558.0	39.0	64.39812183429305	25.615181999999997
146	116.0	18.0	24.51031972859567	15.699599000000001
147	76.0	20.0	16.90941726905359	19.272454
148	210.0	17.0	31.69450301246288	11.602288999999999
149	340.0	17.0	39.449429314520415	11.922262
150	516.0	42.0	72.55350785812243	44.420531999999994
151	813.0	34.0	73.2834612623354	36.33125
152	615.0	13.0	33.97518286279768	9.448917
153	909.0	17.0	46.421519183470245	10.62215
154	590.0	19.0	48.413241862246124	10.924381
155	576.0	21.0	49.66188725124948	12.89986
156	238.0	9.0	15.983594645554074	4.278805
157	177.0	12.0	23.594215832508127	5.392852
158	534.0	22.0	45.769406760515665	12.333377
159	1312.0	28.0	62.68757994795409	16.952867
160	1654.0	34.0	87.56998780243708	24.998082
161	748.0	29.0	44.84194588210138	21.917301
162	65.0	7.0	8.783855896643942	3.8034879999999998
163	63.0	7.0	9.96552294345558	3.737323
164	278.0	10.0	17.681980394496264	5.5322379999999995
165	200.0	10.0	22.405560378931547	6.747493
166	477.0	20.0	36.18615231310291	13.053223000000001
167	359.0	12.0	24.23458491702589	6.835685999999999
168	1046.0	17.0	34.74043475287361	10.619629
169	522.0	11.0	23.313492041553356	6.629875999999999
170	307.0	7.0	19.782538447222677	2.8672069999999996
171	250.0	9.0	20.928444175883293	4.877747
172	443.0	20.0	32.369303145422734	10.537911999999999
173	302.0	15.0	31.90841450040696	7.5454680000000005
174	16.0	3.0	3.9120230054281464	1.807219
175	48.0	3.0	7.740664401917241	0.898453
176	33.0	1.0	3.4965075614664802	0.48946
177	38.0	3.0	5.8289456176102075	1.003422
178	67.0	2.0	6.919683849847411	0.9732540000000001
179	427.0	6.0	19.596303455253366	2.16438
180	647.0	12.0	23.40057525690515	5.50372
181	395.0	10.0	24.905650918909025	5.796134
182	148.0	4.0	11.151338476670475	1.487666
183	237.0	4.0	13.559559683673946	1.188418
184	130.0	4.0	9.237177025929741	1.368994
185	245.0	4.0	9.256460307589737	1.4209490000000002
186	51.0	2.0	6.327936783729195	0.818681
187	201.0	2.0	5.298317366548036	1.166185
188	483.0	19.0	53.520707652839256	17.918499
189	569.0	33.0	50.73594493581708	39.696261
190	867.0	25.0	59.028937921295466	27.426713000000003
191	526.0	20.0	38.3636896338343	22.013195
192	234.0	23.0	42.29150470622427	31.9047
193	434.0	33.0	55.543783850074725	41.64568
194	2.0	2.0	0.0	0.589966
195	79.0	13.0	17.02524908457871	12.491935
196	146.0	23.0	32.66841398795474	25.499083
197	326.0	24.0	38.28316284024055	27.552611
198	1141.0	49.0	106.0181900503506	56.823975999999995
199	1005.0	52.0	104.68638698380052	55.13688799999999
200	1018.0	43.0	97.12988106273365	40.567764999999994
201	844.0	43.0	82.70932558515722	41.678613999999996
202	285.0	23.0	38.040078455256676	29.92529
203	233.0	33.0	42.87795330921203	42.32463
204	1042.0	41.0	69.83842088789159	45.032084000000005
205	1373.0	35.0	73.37745186516682	39.502038999999996
206	358.0	37.0	53.982242831581864	45.42114800000001
207	857.0	49.0	102.11121101794159	55.276453000000004
208	1335.0	60.0	124.30145333507689	62.06344800000001
209	1436.0	59.0	129.0322913371076	59.879411000000005
210	6.0	3.0	1.791759469228055	1.051186
211	13.0	7.0	3.58351893845611	5.991123
212	7.0	3.0	2.1972245773362196	1.181238
213	56.0	15.0	13.436134160618481	8.865628999999998
214	9.0	7.0	1.3862943611198906	2.4147809999999996
215	71.0	20.0	17.289214630413177	15.680184
216	94.0	28.0	23.98624887807966	16.902436
217	150.0	18.0	28.355216908800045	11.671041
218	197.0	18.0	36.06811792015053	13.886694
219	64.0	7.0	13.96757907158721	2.904796
220	387.0	26.0	54.78013210603598	16.180094
221	461.0	28.0	62.93388056147221	15.821038999999999
222	162.0	47.0	40.035123059996025	38.868694000000005
223	204.0	21.0	30.021319041834484	14.751729000000001
224	252.0	22.0	35.482401461435565	15.970097
225	149.0	12.0	21.129114871345443	6.1349540000000005
226	409.0	29.0	51.36646575890291	17.506433
227	256.0	21.0	46.36468059990257	10.431885000000001
228	775.0	49.0	107.67269714512912	34.470139
229	891.0	59.0	125.52055008652933	39.656915
230	639.0	28.0	63.9850282770665	15.815518
231	484.0	23.0	51.25676408088788	10.098402
232	2.0	2.0	0.0	1.441345
233	291.0	28.0	47.69668822664559	15.918909
234	277.0	33.0	46.542865700216794	20.905185
235	373.0	35.0	57.775968937171356	21.978144
236	269.0	43.0	56.0511920322341	24.558462000000002
237	59.0	12.0	15.4233471890314	5.170076
238	1392.0	66.0	133.78405651709753	40.346809
239	857.0	61.0	114.6639395929614	39.89938
240	532.0	43.0	62.379273495403964	27.87639
241	124.0	35.0	33.479588374603246	21.470488000000003
242	535.0	65.0	98.55705006619527	42.844712
243	341.0	41.0	60.29134091219831	27.765518
244	886.0	53.0	105.45437004753595	31.687615
245	985.0	63.0	119.47554461917662	36.545136
